@relation results

@attribute Compound {'2-Nitropropane ','Bromochloromethane ','1-Bromo-3-chloropropane ','1,1,1-Trichloroethane ','Dibromomethane ','1,1,2-Trichloroethane ','Bromoform ','1,1-Dichloroethylene ','1,2-Dichloroethane ','1,2-Dibromoethane ','tert-butanol ','Methanol ','Propan-2-ol ','Tetrachloroethylene ','Butan-1,3-diol ','Ethanol ','1-propanol ','Trichloroethylene ','dichloroethylene-cis ','Diethylether ','1-butanol ','1,4-Dichlorobenzene ','Anisole ','Fumaric acid ','Maleic acid ','Styrene ','Benzoate ion ','tert-Butylhydroquinone ','1,3,5-Trimethylbenzene ','Acetophenone ','phenol ','1,2,3-Trimethylbenzene ','Ethyl benzene ','4-chlorophenol ','Feruloylputrescine ','Primaquine ','2-Bromotoluene ','(4-Chloro-2-methylphenoxy)acetic acid ','Quinclorac ','1-Naphthalenol, methylcarbamate ','4-pyridinol ','3-Hydroxykynurenine ','Kynurenine ','4-Chlorocatechol ','Tetrabromoethane ','2-Bromobutane ','Quinidine ','Procainamide ','1-Bromopentane ','2,4-Dichlorophenoxyacetic acid ','Chloroquine ','Spermidine ','Chloroacetaldehyde dimethyl acetal ','Butyl methacrylate ','Isoeugenol ','Methylcyclopentane ','Methyl acrylate ','Dimethylurea ','3-Pentanone ','2-Methylphenol ','3,6-Diaminoacridine ','2,4-Dihydroxyacetophenone ','1-Methyl-2-pyrrolidinone ','Inositol ','Ophthalmic acid ','Methyl methacrylate ','Methacrylamide ','Propionamide ','2-Butanone ','2-Butanol ','Tris ','N-tert-Butylacetamide ','Camphor ','Pinacol ','Trimethylacetamide ','Glycyl-beta-alanine ','Tert-Amyl alcohol ','1,2-Epoxypropane ','Ethylene oxide ','p-Coumaric acid ','Propane ','Bromoethane ','Spermine ','1-Pentanol ','Asparagine ','Ornithine ','Methionine ','Leucine ','Isoleucine ','Valine ','Bistris ','Mannitol ','Lysine ','5-Hydroxymethylfurfural ','1,2-Diethoxyethane ','1,6-Hexanediol ','Methyl butyrate ','5-Methylfurfural ','2-Phenyl-2-propanol ','3-Ethylpentane ','2-Methyl-1-phenyl-1-propanol ','Phenethyl alcohol ','Iodobenzene ','Melibiose ','3-pentanol ','D-Xylose ','1,2-Propanediol ','2-Hydroxybutyric acid ','Glycerol ','2,3-Epoxypropanol ','Methyl propionate ','Cycloheptatriene ','1,3-Dichlorobenzene ','3,3-Dimethylacrylic acid ','Isooctane ','1,2-Dichloroethylene ','1-Chloropropane ','2-Bromoethanol ','1-(p-Bromophenyl)ethanol ','Benzyl methyl ether ','2-Methylfuran ','1,1-Dimethoxyethane ','Myricetin ','1,2,3,4-Tetrahydro-1-naphthol ','D-Cellobiose ','Tartaric acid ','Flavone ','2-Methyl-1-phenyl-2-propanol ','1-Methoxy-2-methyl-1-phenylpropane ','Apigenin ','Diosmetin ','Kaempferol ','Suberic acid ','1,3-Propanediol ','3-Methylbutyric acid ','Cycloheptanol ','Nordihydroguaiaretic acid ','Lactic acid ','2-Methyl-1,3-dioxolane ','2,5-Dihydroxyacetophenone ','3-Methylcatechol ','4\',5,7-Trihydroxyflavanone ','Morin ','Phenyl-beta-D-glucopyranoside ','Dihydroxymethane ','Crocin ','2,2-Dimethyl-1-phenyl-1-propanol ','Crotonic acid ','1-Pyrenebutanoic acid ','1-(p-Ethylphenyl)ethanol ','D-Glucuronolactone ','Ethyl hydroperoxide ','Robinin ','l-Ephedrine ','Cycloheptane ','ethane ','2-methylpropane ','butane ','pentane ','hexane ','heptane ','octane ','2-methylbutane ','2,2,4-trimethylpentane ','1-heptanol ','2-propanol ','2-methyl-1-propanol ','2-methyl-2-butanol ','2,2-dimethyl-1-propanol ','3-methyl-1-butanol ','ethyleneglycol ','1,1-ethanediol ','1,3-butanediol ','1,4-butanediol ','2,3-butanediol ','1,5-pentanediol ','2,4-pentanediol ','dimethylether ','methylene glycol diethyl ether ','diisopropyl ether ','tert-amyl methyl ether ','diethylene glycol diethyl ether ','ethylene glycol diethyl ether ','ethylene glycol dimethyl ether ','diethoxymethane ','dimethoxymethane ','2-methyl-2-methoxy propanol ','2-methoxyethanol ','2-ethoxyethanol ','diethylene glycol ','2,3-butanedion ','acetone ','2-pentanone ','methyl-iso-butyl ketone ','acetonyl acetone ','acetaldehyde ','propionaldehyde ','butyraldehyde ','2-methyl-2-methoxy-propanal ','methyl glyoxal ','glyoxalic acid ','pyruvic aldehyde ','methyl acetate ','ethyl acetate ','propyl acetate ','ethyl propionate ','2-hydroxyethyl acetate ','isopropyl acetate ','n-butyl acetate ','propionic acid ','butyric acid ','tri-methyl-acetic acid ','2-methyl-2-methoxy-propanoic acid ','glycolic acid ','glucuronic acid ','acetic acid ','malonic acid ','succinic acid ','glutaric acid ','adipic acid ','azelaic acid ','citric acid ','malic acid ','chloroacetic acid ','dichloromethane ','bromodichloromethane ','pentachloroethane ','chlorodibromomethane ','tribromomethane ','1,1-dichloroethane ','1,1,2,2-tetrabromoethane ','1,2-dichloro-3-bromopropane ','1,3-dibromopropane ','1,2-dichloropropane ','1-chlorobutane ','2-chloroethanol ','2,2,2-trichloroethanol ','2,2,2-trifluoroethanol ','chloral hydrate ','Halothane ','chloroform ','isoflurane '}
@attribute kOH numeric
@attribute pH numeric
@attribute Alkyl_Carbon numeric
@attribute Allenic_Carbon numeric
@attribute Vinylic_Carbon numeric
@attribute Acetylenic_Carbon numeric
@attribute Arene numeric
@attribute Carbonyl_with_Carbon numeric
@attribute Carbonyl_with_Nitrogen numeric
@attribute Carbonyl_with_Oxygen numeric
@attribute Aldehyde numeric
@attribute Acyl_Halide numeric
@attribute Anhydride numeric
@attribute Amide numeric
@attribute Amidinium numeric
@attribute Carboxylic_acid numeric
@attribute Cyanamide numeric
@attribute Ketone numeric
@attribute Ether numeric
@attribute Carbamate numeric
@attribute Carbamic_ester numeric
@attribute Hydroxyl numeric
@attribute Hydroxyl_in_Alcohol numeric
@attribute Enol numeric
@attribute Phenol numeric
@attribute Enol_or_Phenol numeric
@attribute Peroxide_groups numeric
@attribute Any_carbon_attached_to_any_halogen numeric
@attribute Halogen numeric
@attribute Three_halides_groups numeric

@data
'3-Hydroxykynurenine ',12,7.4,2,0,0,0,6,2,0,1,0,0,0,0,0,1,0,2,0,0,0,2,4,1,2,2,0,0,0,0
'Kynurenine ',13,7.4,2,0,0,0,6,2,0,1,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0
'4-Chlorocatechol ',7,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,4,0,2,1,1
'Tetrabromoethane ',0.22,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4
'2-Bromobutane ',0.15,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
'Quinidine ',18,7.4,9,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0
'Procainamide ',14,7.4,6,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1-Bromopentane ',0.12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
'2,4-Dichlorophenoxyacetic acid ',2.3,?,1,0,0,0,6,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,4,2,2
'Chloroquine ',7.3,8.5,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
'Spermidine ',0.12,7.4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Chloroacetaldehyde dimethyl acetal ',1.5,?,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1
'Butyl methacrylate ',12,7,5,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
'Isoeugenol ',33,?,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,2,2,0,0,0,0
'Methylcyclopentane ',7,?,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Methyl acrylate ',5.3,7,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
'Dimethylurea ',2.6,?,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'3-Pentanone ',1.4,7,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
'2-Methylphenol ',11,9,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,0
'3,6-Diaminoacridine ',10,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2,4-Dihydroxyacetophenone ',30,?,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,2,4,4,0,0,0,0
'1-Methyl-2-pyrrolidinone ',2.6,?,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Inositol ',2,?,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0
'Ophthalmic acid ',6.9,10.6,7,0,0,0,0,4,2,2,0,0,0,2,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0
'Methyl methacrylate ',11,7,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
'Methacrylamide ',13,7,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Propionamide ',0.7,6,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2-Butanone ',0.9,7,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
'2-Butanol ',3.1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Tris ',1.5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0
'N-tert-Butylacetamide ',1.1,6,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Camphor ',4.1,9.2,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
'Pinacol ',0.55,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
'Trimethylacetamide ',1.5,6,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Glycyl-beta-alanine ',0.66,6.2,3,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Tert-Amyl alcohol ',1.9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'1,2-Epoxypropane ',0.25,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
'Ethylene oxide ',0.07,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
'p-Coumaric acid ',9,7.4,0,0,2,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,4,1,2,2,0,0,0,0
'Propane ',2.3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Bromoethane ',0.13,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
'Spermine ',0.13,7.4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1-Pentanol ',3.7,?,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Asparagine ',4.9,6.6,2,0,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Ornithine ',0.08,7.4,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Methionine ',7.4,7.4,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Leucine ',1.7,6,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Isoleucine ',1.8,6.6,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Valine ',0.85,6.9,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Bistris ',3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0
'Mannitol ',2.7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0
'Lysine ',0.35,6.6,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'5-Hydroxymethylfurfural ',5.8,9,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'1,2-Diethoxyethane ',2.3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
'1,6-Hexanediol ',4.7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
'Methyl butyrate ',1.7,7,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
'5-Methylfurfural ',7.2,9,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2-Phenyl-2-propanol ',4.6,1.8,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'3-Ethylpentane ',5.9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2-Methyl-1-phenyl-1-propanol ',9.5,1.8,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Phenethyl alcohol ',5.8,?,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
'Iodobenzene ',5.6,3.5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
'Iodobenzene ',5,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
'Melibiose ',3.8,6.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,16,0,0,0,0,0,0,0
'3-pentanol ',2.1,1.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
